handle,userId
awez_darbar,163971825
ahsaassy_,163971937
amrit.images,163971970
anupasatish,163971994
anushka.sen.f.c,163972037
ashi_khanna,163972055
barkhasingh0308,163972077
click_asura,163972101
nitibhakaul,163972136
bhuvanphotography,163972153
chanakya_niti_quotes,163971430
charvi_r_gowda,163972179
chikkanna_official,163972208
lil.tea.pot,163972230
ginnichatrath.lovers,163972243
josheela_lobo,163972260
kanchhisingh09,163972279
kangnasharma16,163972295
kapilfc,163972325
kartikaaryan,163972368
kiaraaliaadvani,163972421
krishna___786,163972446
kritisanon,163972472
krystledsouza,163972512
madhuridixitnene,163972531
mahi_kingdom,163971448
rochellerao,163972564
mokshakushal,163972596
nav_ine,163972627
nayana_comedy_khiladigalu,163972646
niasharma90,163972674
nidhhiagerwal,163972695
nimratkhairaofficial,163972719
nishabano,163972744
norafatehi,163972768
ishidutta,163972795
mostlysane,163972813
prathapkuri,163972831
radhika_bangia,163972848
ravidubey2312,163972878
reem_sameer8,163972907
rits_badiani,163972938
themetrofarmer,163972964
sanvi_kaddi,163973007
saraalikhan.pataudi,163973038
sargunmehta,163973056
shamasikander,163973079
sharath_sr,163973104
sheshadri.vasan,163973133
iamshivshakti,163973156
shriya.pilgaonkar,163973181
_shubhaaaaa_,163973208
sraviaa,163973250
srishti.shrivastava21,163973274
surajdsaha,163973299
apooarora,163973340
areyho,163970962
badminton.lover,163971359
chaithrarai17,163971269
come_fall_in_love__,163971199
cricketanari,163971530
cute.babies__,163971155
thefilmykudi,163977020
hyper.aadi,163970813
kanakalasuma,163971289
meme_raaja,163971107
ncbn.official,163971402
ramcharan_dhf,163971226
rohit.sharma.45fc,163971509
rohit_sharma_the_hitman_45,163971489
romanreeigns_wwe,163971329
simplekaul,163977043
telugu_films,163971179
thedeverakonda,163971252
thug_trollers,163970896
tollywood_kids,163971137
unprofessional_trollers,163971010
virat_kohli_fan_007,163971470
what_the_faalakura,163970866
gulati06,163977084
indianfooddelight,41108130
maithilithakur.official,75282513
navvinchadam.maaku.thelusu,118285952
hyderabad_hunks,118289375
talents_hub1,118291770
funmateofficial,118293361
fukkard,118294039
entertaining_buzz,118294709
